Author,Comment,Photo,Channel_ID,Timestamp
SharkBearAgator Phipps,prophet you okay there bud,https://yt3.ggpht.com/-ECXfXLmqDiM/AAAAAAAAAAI/AAAAAAAAAAA/rotAmZdiGDU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCjO72RZHKCUhy1LhBQu405g,1592800915121650
Prince Albert,Ok hoarder,https://yt3.ggpht.com/-yiAxxnnheEg/AAAAAAAAAAI/AAAAAAAAAAA/ZTInViWVnNc/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCuCYOvuXgb8fq-V1mcwkcQA,1592800915495972
Jean Magagnin,ci,https://yt3.ggpht.com/-eU06LOH72xA/AAAAAAAAAAI/AAAAAAAAAAA/7rEiV6mvUYk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCd-7kgLR_qLB9GEIiunwGiA,1592800915794442
Skyler Manning,goodnight bois,https://yt3.ggpht.com/-GJvYCSDEZbI/AAAAAAAAAAI/AAAAAAAAAAA/ehYvGovNPLw/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCysCihypBWmyODyltq_wtdQ,1592800916746908
Angel Panda,oh nothing,https://yt3.ggpht.com/-J-znn3FHMDg/AAAAAAAAAAI/AAAAAAAAAAA/rLVI70hJT3o/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCK0dqG3CmcIjWCQBvoN2pAQ,1592800919022218
Jean Magagnin,cu,https://yt3.ggpht.com/-eU06LOH72xA/AAAAAAAAAAI/AAAAAAAAAAA/7rEiV6mvUYk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCd-7kgLR_qLB9GEIiunwGiA,1592800919485336
Katia Flores,prophet haha relax it's a Joke xD,https://yt3.ggpht.com/-qlKSU5nQzuQ/AAAAAAAAAAI/AAAAAAAAAAA/DLdBulSHlOc/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC1KKfjJFfxvL_bamKIRKtJw,1592800920418202
Blake Williams,"""life is what you make it"" says absolutely nothing at all basically about how to ""make it"" in life",https://yt3.ggpht.com/-FMOgzqMCMN0/AAAAAAAAAAI/AAAAAAAAAAA/R2dCM1FZm9s/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC8_Apw5PUaLxg3QEcDYA5hA,1592800921595042
Angel Panda,brb,https://yt3.ggpht.com/-J-znn3FHMDg/AAAAAAAAAAI/AAAAAAAAAAA/rLVI70hJT3o/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCK0dqG3CmcIjWCQBvoN2pAQ,1592800924190549
Prophet,Avery who tf told you that lie,https://yt3.ggpht.com/-oF8sV5FMsXU/AAAAAAAAAAI/AAAAAAAAAAA/KzD2EBe_AC8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCgfAOURn6CQR50KR0-vU60w,1592800924757864
Lidia Carlos,BR,https://yt3.ggpht.com/-g7M0toSfiEs/AAAAAAAAAAI/AAAAAAAAAAA/emGQ7EeGyg4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCgSWe0fNGSnh6y9EnBE3Jxw,1592800928379305
Sampada,THIS BIG HOUSE SUCS 😒😒😒,https://yt3.ggpht.com/-blrU8-1Dlmk/AAAAAAAAAAI/AAAAAAAAAAA/eXQ7JqnM0q4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCMGOiIWzVcFopEWhQuPEY3g,1592800928512342
b l u e d r e a m,wats up @everyone,https://yt3.ggpht.com/-PXVFfzEF2eY/AAAAAAAAAAI/AAAAAAAAAAA/Hr-comZMDM8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC6Ptrz5gNx8xFcX0Q4UmvOw,1592800930135032
Katia Flores,xD,https://yt3.ggpht.com/-qlKSU5nQzuQ/AAAAAAAAAAI/AAAAAAAAAAA/DLdBulSHlOc/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC1KKfjJFfxvL_bamKIRKtJw,1592800936228257
Juan Carlos Velarde Durán,what time is it?,https://yt3.ggpht.com/-pmfEAp7Or14/AAAAAAAAAAI/AAAAAAAAAAA/akm_eGtNNsw/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCA4XFS9NIGb4jgV-F_e07dg,1592800939009704
D,this chat is a setup! traitors! they will suck the life out of ya!,https://yt3.ggpht.com/-NXMmGx6kd50/AAAAAAAAAAI/AAAAAAAAAAA/Q8oBJ0B8-Bk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCDch8j2ygpzgAG3T2MpmG-g,1592800940950516
John Reaper666,@a human,https://yt3.ggpht.com/-jLl-5Mo_-LY/AAAAAAAAAAI/AAAAAAAAAAA/IZx_88hqTj0/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCZBM_iqGP6-nOSOBB8hNYHA,1592800949313387
uwuPurpl3,Oh you changed your name to Angel Panda Ok,https://yt3.ggpht.com/-jTsYaEdAyo8/AAAAAAAAAAI/AAAAAAAAAAA/F686nKqaxO8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCsoIVsIhNbD_nQrhheqg16Q,1592800949352437
Blake Williams,"You just gotu split an atom to make an atomic reaction. guys, I know how that works",https://yt3.ggpht.com/-FMOgzqMCMN0/AAAAAAAAAAI/AAAAAAAAAAA/R2dCM1FZm9s/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC8_Apw5PUaLxg3QEcDYA5hA,1592800952140247
David Salman,"Avery is a Reptilian, i Contacted my Reptilian Cousins on Jupiter and they Confirmed it, O'ma Loooord 😱 *Big momma's voice* @Avery",https://yt3.ggpht.com/--EOCW8phqFg/AAAAAAAAAAI/AAAAAAAAAAA/K5DqSvcr1VA/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCo4h5yQBv85cAGGqm6gc3bA,1592800956375666
[M a d e I n H e a v e n],"When you know the pain of not eating, when you know the pain of sleeping behind a bridge in winter, you can talk to me ^^",https://yt3.ggpht.com/-8sXIgp46yrA/AAAAAAAAAAI/AAAAAAAAAAA/DJWMetXUd34/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCvz93MEoC7g3mtpU1A9ZKkw,1592800956930278
ace,brb,https://yt3.ggpht.com/-AbVmOkYQZYo/AAAAAAAAAAI/AAAAAAAAAAA/0I_EIYHAOaM/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCKd1dPhTgcbAnve00868p3Q,1592800957204823
Prophet,Imagine using xD in the year 2020,https://yt3.ggpht.com/-oF8sV5FMsXU/AAAAAAAAAAI/AAAAAAAAAAA/KzD2EBe_AC8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCgfAOURn6CQR50KR0-vU60w,1592800957714300
Avery,prophet is like... on me,https://yt3.ggpht.com/-jhosnWRg1UM/AAAAAAAAAAI/AAAAAAAAAAA/otYOCEAJd6Q/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCafIjkY4ilJYp4yskdZfVSA,1592800958407387
Grant Fabre,Idk about y’all but I’m chillin in the shower rn,https://yt3.ggpht.com/-_1y3It_rwao/AAAAAAAAAAI/AAAAAAAAAAA/mjDEaMWUvB8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCDyUVHuHMqh9k02PfEuUzPg,1592800958491043
John Reaper666,oops,https://yt3.ggpht.com/-jLl-5Mo_-LY/AAAAAAAAAAI/AAAAAAAAAAA/IZx_88hqTj0/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCZBM_iqGP6-nOSOBB8hNYHA,1592800960160733
Katia Flores,prophet relax bro xD,https://yt3.ggpht.com/-qlKSU5nQzuQ/AAAAAAAAAAI/AAAAAAAAAAA/DLdBulSHlOc/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC1KKfjJFfxvL_bamKIRKtJw,1592800962564475
Blake Williams,trust me😎,https://yt3.ggpht.com/-FMOgzqMCMN0/AAAAAAAAAAI/AAAAAAAAAAA/R2dCM1FZm9s/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC8_Apw5PUaLxg3QEcDYA5hA,1592800963246105
Avery,obsessed with me,https://yt3.ggpht.com/-jhosnWRg1UM/AAAAAAAAAAI/AAAAAAAAAAA/otYOCEAJd6Q/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCafIjkY4ilJYp4yskdZfVSA,1592800963810532
SharkBearAgator Phipps,everybody got a punchable face if you think about it. except me of course,https://yt3.ggpht.com/-ECXfXLmqDiM/AAAAAAAAAAI/AAAAAAAAAAA/rotAmZdiGDU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCjO72RZHKCUhy1LhBQu405g,1592800964767338
makayla Rodriguez,oof,https://yt3.ggpht.com/-IKqjXKmvCFc/AAAAAAAAAAI/AAAAAAAAAAA/GE81qHF8vW0/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC6Xu1A8Gvti9IG_d4vJhllg,1592800964860405
Blake Williams,I'm deep,https://yt3.ggpht.com/-FMOgzqMCMN0/AAAAAAAAAAI/AAAAAAAAAAA/R2dCM1FZm9s/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC8_Apw5PUaLxg3QEcDYA5hA,1592800968373338
D,ahhhh! everyone will pretend to be cool with you!!!! ahhhhhhh!,https://yt3.ggpht.com/-NXMmGx6kd50/AAAAAAAAAAI/AAAAAAAAAAA/Q8oBJ0B8-Bk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCDch8j2ygpzgAG3T2MpmG-g,1592800972262413
