Author,Comment,Photo,Channel_ID,Timestamp
DNA Electronics,kool-aid,https://yt3.ggpht.com/-lWnS8aOwsWk/AAAAAAAAAAI/AAAAAAAAAAA/XWMYS0nyMXU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCd0VetiR_xrosY7Xu_jitpQ,1592920000000000.0
kungfu2toe,who th f is that guy?,https://yt3.ggpht.com/-cg6MIkCX64A/AAAAAAAAAAI/AAAAAAAAAAA/0Vrtkel68vA/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCbi8FlVde57w2Z-4ZhuPpdQ,1592920000000000.0
Dutch Eve,What is Lebron carrying? A radio?,https://yt3.ggpht.com/-HWdJjFScRTo/AAAAAAAAAAI/AAAAAAAAAAA/_o3fKUpIkZ4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCYrJLyppFhrUUQ4X36XY60Q,1592920000000000.0
Liam Cogley,the guy with the boom box wants to act all nice... 2 weeks ago he wasn't,https://yt3.ggpht.com/-fPt6CW7fh7c/AAAAAAAAAAI/AAAAAAAAAAA/bdXX9q_Gcuk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC3vw-eYviC5vXwjMlwGvbpQ,1592920000000000.0
Claire,what's happening today in this mad world? 🥺,https://yt3.ggpht.com/-GMN42jNZUvE/AAAAAAAAAAI/AAAAAAAAAAA/DszhaGkdBxE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCx_6NHrcypz112YdKSGK3pw,1592920000000000.0
jim wedge,Treat racism like coronavirus. Just pretend it’s over. Trump Leadership Academy,https://yt3.ggpht.com/-RwuRJ-qgIZA/AAAAAAAAAAI/AAAAAAAAAAA/ow85V3P6EUY/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCvRFNWI7OxXrZ8RKa2re0ag,1592920000000000.0
FaithwalkerTodd,"Rights are listed in the Bill of Rights, like the right to bear arms or the right to say what you want",https://yt3.ggpht.com/-RP8xCC7zssc/AAAAAAAAAAI/AAAAAAAAAAA/v2a4aWEmFoA/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC2uOEqr9YpoYx78_6Ft866Q,1592920000000000.0
Ric Heaton,Noonday sun must be too hot for the children in black to come out,https://yt3.ggpht.com/-g22gPQhLHio/AAAAAAAAAAI/AAAAAAAAAAA/562e58ZSn5s/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCqs0lOQw63_IjPZiDCbrOVQ,1592920000000000.0
Malice min,you have the right to remain silent,https://yt3.ggpht.com/-r2dhFGoXK-M/AAAAAAAAAAI/AAAAAAAAAAA/tEqNRArC8uE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC0uPhOs4LQ3jtXE4S4O2a3w,1592920000000000.0
ng lynne,"@ Daniel Lewis, I agree. They are true Patriots!",https://yt3.ggpht.com/-fk2JagR4dA8/AAAAAAAAAAI/AAAAAAAAAAA/G_GhdKx5jZE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCfGxuUzoilMf4zr_fzylVFw,1592920000000000.0
- 13.UpNext -,Go Antifa,https://yt3.ggpht.com/-3g9s7zraGPE/AAAAAAAAAAI/AAAAAAAAAAA/E2UAAXmGNfo/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCwqR9I3f_dMErxr5sQDwdww,1592920000000000.0
Tim Temple,"George Soros is funding BLM and the American communists. He, a Jew, killed lots of Jews in Europe.",https://yt3.ggpht.com/-ahBkoHVsgPg/AAAAAAAAAAI/AAAAAAAAAAA/jMY0YqajrMk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCmPpHigyEmJyDcH_K-rfj2w,1592920000000000.0
wim van dam,white socks,https://yt3.ggpht.com/-Dshti5qeOXw/AAAAAAAAAAI/AAAAAAAAAAA/eynEsoyMPzE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCMFRwSYJinbV8o91RNxBZRA,1592920000000000.0
KK,it's a madhouse a madhouse,https://yt3.ggpht.com/-9waKlKLX4tE/AAAAAAAAAAI/AAAAAAAAAAA/B43TlQecCnk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCm8o4XZCzfO0jHSLqRjfsuA,1592920000000000.0
Malice min,anything you say can and will be used against you,https://yt3.ggpht.com/-r2dhFGoXK-M/AAAAAAAAAAI/AAAAAAAAAAA/tEqNRArC8uE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC0uPhOs4LQ3jtXE4S4O2a3w,1592920000000000.0
menace2society2,1865 abolished move on,https://yt3.ggpht.com/-kGQIh2WcshE/AAAAAAAAAAI/AAAAAAAAAAA/9iHAKxDF2VQ/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCH9xX5cINDLbkFYRIleKK3A,1592920000000000.0
Dutch Eve,Lebron was just on his way to take a shower in the lake.,https://yt3.ggpht.com/-HWdJjFScRTo/AAAAAAAAAAI/AAAAAAAAAAA/_o3fKUpIkZ4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCYrJLyppFhrUUQ4X36XY60Q,1592920000000000.0
Matt K,None of these people will ever be CEO $10 K/day,https://yt3.ggpht.com/-_twGB99wFBA/AAAAAAAAAAI/AAAAAAAAAAA/5NTHpKA8Slg/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC8XDPDEAvgOe8DjoL1_i86A,1592920000000000.0
D M,Thank You for protecting DC.,https://yt3.ggpht.com/-RDm5O6mT08U/AAAAAAAAAAI/AAAAAAAAAAA/5cECWdHucwE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCcgAOITRHdpuWNok_Dm01Fg,1592920000000000.0
Eugene Rudman,just a bunch of losers trying desperately to find meaning to their soulless lives,https://yt3.ggpht.com/-zv8wcAUN3Ks/AAAAAAAAAAI/AAAAAAAAAAA/reEwkPZTjAo/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCfUZtErVlKWUU6R7a4_b3qQ,1592920000000000.0
DNA Electronics,"Tim, your tin foil hat is slipping off fella",https://yt3.ggpht.com/-lWnS8aOwsWk/AAAAAAAAAAI/AAAAAAAAAAA/XWMYS0nyMXU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCd0VetiR_xrosY7Xu_jitpQ,1592920000000000.0
kungfu2toe,go eat a bisquit smut,https://yt3.ggpht.com/-cg6MIkCX64A/AAAAAAAAAAI/AAAAAAAAAAA/0Vrtkel68vA/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCbi8FlVde57w2Z-4ZhuPpdQ,1592920000000000.0
Supersquid 1776,You have a right to PEACEFUL protest!!!,https://yt3.ggpht.com/-a80Ixz5bkaA/AAAAAAAAAAI/AAAAAAAAAAA/G7lJ8YXjN4g/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC_vfyv_NT39NuB_5l2gxBKQ,1592920000000000.0
KD8GIS Bruce,Getting your picture taken by the Federal Gov.,https://yt3.ggpht.com/-rLDsD4TShRU/AAAAAAAAAAI/AAAAAAAAAAA/EEp29YPzMxI/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCjd-3s9mweFYhWtj88u0NDg,1592920000000000.0
Matt K,not many people there because most of them dont have jobs and are still sleeping,https://yt3.ggpht.com/-_twGB99wFBA/AAAAAAAAAAI/AAAAAAAAAAA/5NTHpKA8Slg/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC8XDPDEAvgOe8DjoL1_i86A,1592920000000000.0
Malice min,obama is still making money off obamacare,https://yt3.ggpht.com/-r2dhFGoXK-M/AAAAAAAAAAI/AAAAAAAAAAA/tEqNRArC8uE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC0uPhOs4LQ3jtXE4S4O2a3w,1592920000000000.0
Jeniffer Savage,looks pretty peaceful to me,https://yt3.ggpht.com/-lctPXL41eVE/AAAAAAAAAAI/AAAAAAAAAAA/nuA9g0xRrzg/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCx2gziJx8RYVsZfBuBH5L-w,1592920000000000.0
KK,hey he has 2 ?'s,https://yt3.ggpht.com/-9waKlKLX4tE/AAAAAAAAAAI/AAAAAAAAAAA/B43TlQecCnk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCm8o4XZCzfO0jHSLqRjfsuA,1592920000000000.0
John Galt,"""Pants up!"" ""Don't loot!!",https://yt3.ggpht.com/-PH3Foy5ilLo/AAAAAAAAAAI/AAAAAAAAAAA/krEnZlm8OiA/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCgOjcACdzgQOTbcCjTxCoAw,1592920000000000.0
Zsavage1,If they start line dancing... Start SPRAYING STAT!!!,https://yt3.ggpht.com/-wg4qR6B5YxI/AAAAAAAAAAI/AAAAAAAAAAA/SzQHLWXVJlw/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCILvFy72agtBgU8F59gqvdQ,1592920000000000.0
Cree Yahná,BLM 4L,https://yt3.ggpht.com/-bbI8cX39oNA/AAAAAAAAAAI/AAAAAAAAAAA/rckM_hBAFGY/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCcCPqqSLC9PxR4zxMCq2jyg,1592920000000000.0
DNA Electronics,"Being a COP is a real job, don't make stupid comments",https://yt3.ggpht.com/-lWnS8aOwsWk/AAAAAAAAAAI/AAAAAAAAAAA/XWMYS0nyMXU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCd0VetiR_xrosY7Xu_jitpQ,1592920000000000.0
Jen W,@DNA Electronics is a foreigner on chats interfering with US elections.,https://yt3.ggpht.com/-PUznd40JxkU/AAAAAAAAAAI/AAAAAAAAAAA/skGDeiSUKCw/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UClL60nZd1eFo-8exgJYSLwQ,1592920000000000.0
menace2society2,say his name,https://yt3.ggpht.com/-kGQIh2WcshE/AAAAAAAAAAI/AAAAAAAAAAA/9iHAKxDF2VQ/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCH9xX5cINDLbkFYRIleKK3A,1592920000000000.0
jim wedge,AFL cio building is flying blm banner,https://yt3.ggpht.com/-RwuRJ-qgIZA/AAAAAAAAAAI/AAAAAAAAAAA/ow85V3P6EUY/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCvRFNWI7OxXrZ8RKa2re0ag,1592920000000000.0
ryan Laff,chicago has the most peaceful killings,https://yt3.ggpht.com/-L0tq_2yPsK4/AAAAAAAAAAI/AAAAAAAAAAA/Vwq_fguhFSY/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCbKled5hGaaCTqBjOdJuyuA,1592920000000000.0
DNA Electronics,"Like trumps Russian, Ukrainian and Chinese friends",https://yt3.ggpht.com/-lWnS8aOwsWk/AAAAAAAAAAI/AAAAAAAAAAA/XWMYS0nyMXU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCd0VetiR_xrosY7Xu_jitpQ,1592920000000000.0
Dutch Eve,michael? Chad?,https://yt3.ggpht.com/-HWdJjFScRTo/AAAAAAAAAAI/AAAAAAAAAAA/_o3fKUpIkZ4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCYrJLyppFhrUUQ4X36XY60Q,1592920000000000.0
Pat Riley,Most cities require permits to protest due to health and safety concerns.,https://yt3.ggpht.com/-gssLWFEh108/AAAAAAAAAAI/AAAAAAAAAAA/ig97wNCpo0Y/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCp1uKBp3FKhPwsK3nPvKRnQ,1592920000000000.0
- 13.UpNext -,Anarchy will reign!!!,https://yt3.ggpht.com/-3g9s7zraGPE/AAAAAAAAAAI/AAAAAAAAAAA/E2UAAXmGNfo/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCwqR9I3f_dMErxr5sQDwdww,1592920000000000.0
margie bell,Trump 2020,https://yt3.ggpht.com/-73vSoZy2M4o/AAAAAAAAAAI/AAAAAAAAAAA/d_TJXwSrmLg/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCLKgJ5bgzZ0J8tiQrBMmLvQ,1592920000000000.0
Steve Dee,It’s gonna get ugly because trump will tell the police to incite the violence,https://yt3.ggpht.com/-KYky4Xiajbw/AAAAAAAAAAI/AAAAAAAAAAA/SevvLDyEkiQ/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCdxd6Kfx08uRiHCza7Hwnzw,1592920000000000.0
